Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU003 User%,CPU003 Sys%,CPU003 Wait%,CPU003 CPU%,CPU004 User%,CPU004 Sys%,CPU004 Wait%,CPU004 CPU%,CPU005 User%,CPU005 Sys%,CPU005 Wait%,CPU005 CPU%,CPU006 User%,CPU006 Sys%,CPU006 Wait%,CPU006 CPU%,CPU007 User%,CPU007 Sys%,CPU007 Wait%,CPU007 CPU%,CPU008 User%,CPU008 Sys%,CPU008 Wait%,CPU008 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE sdb,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKBUSY sdb,DISKREAD sda,DISKREAD sda1,DISKREAD sdb,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE sdb,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER sdb,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /var/lib/docker/overlay,JFSFILE /data,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET vethbf055be-read-KB/s,NET veth9b349d6-read-KB/s,NET eth0-read-KB/s,NET lo-read-KB/s,NET docker0-read-KB/s,NET vethbf055be-write-KB/s,NET veth9b349d6-write-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NET docker0-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET vethbf055be-reads/s,NETPACKET veth9b349d6-reads/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET docker0-reads/s,NETPACKET vethbf055be-writes/s,NETPACKET veth9b349d6-writes/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETPACKET docker0-writes/s,NETTOTAL docker0-KB/s,NETTOTAL docker0-packets/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,NETTOTAL veth9b349d6-KB/s,NETTOTAL veth9b349d6-packets/s,NETTOTAL vethbf055be-KB/s,NETTOTAL vethbf055be-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,rcuob/3 (12) %CPU,rcuob/3 (12) %Usr,rcuob/3 (12) %Sys,rcuob/3 (12) %Wait,rcuob/3 (12) Size,rcuob/3 (12) ResSet,rcuob/3 (12) ResText,rcuob/3 (12) ResData,rcuob/3 (12) ShdLib,rcuob/3 (12) MinorFault,rcuob/3 (12) MajorFault,rcu_sched (17) %CPU,rcu_sched (17) %Usr,rcu_sched (17) %Sys,rcu_sched (17) %Wait,rcu_sched (17) Size,rcu_sched (17) ResSet,rcu_sched (17) ResText,rcu_sched (17) ResData,rcu_sched (17) ShdLib,rcu_sched (17) MinorFault,rcu_sched (17) MajorFault,collectd (2630) %CPU,collectd (2630) %Usr,collectd (2630) %Sys,collectd (2630) %Wait,collectd (2630) Size,collectd (2630) ResSet,collectd (2630) ResText,collectd (2630) ResData,collectd (2630) ShdLib,collectd (2630) MinorFault,collectd (2630) MajorFault,systemd-journal (292) %CPU,systemd-journal (292) %Usr,systemd-journal (292) %Sys,systemd-journal (292) %Wait,systemd-journal (292) Size,systemd-journal (292) ResSet,systemd-journal (292) ResText,systemd-journal (292) ResData,systemd-journal (292) ShdLib,systemd-journal (292) MinorFault,systemd-journal (292) MajorFault,redis-server (3095) %CPU,redis-server (3095) %Usr,redis-server (3095) %Sys,redis-server (3095) %Wait,redis-server (3095) Size,redis-server (3095) ResSet,redis-server (3095) ResText,redis-server (3095) ResData,redis-server (3095) ShdLib,redis-server (3095) MinorFault,redis-server (3095) MajorFault,redis-server (3185) %CPU,redis-server (3185) %Usr,redis-server (3185) %Sys,redis-server (3185) %Wait,redis-server (3185) Size,redis-server (3185) ResSet,redis-server (3185) ResText,redis-server (3185) ResData,redis-server (3185) ShdLib,redis-server (3185) MinorFault,redis-server (3185) MajorFault,rngd (411) %CPU,rngd (411) %Usr,rngd (411) %Sys,rngd (411) %Wait,rngd (411) Size,rngd (411) ResSet,rngd (411) ResText,rngd (411) ResData,rngd (411) ShdLib,rngd (411) MinorFault,rngd (411) MajorFault,ksoftirqd/5 (49) %CPU,ksoftirqd/5 (49) %Usr,ksoftirqd/5 (49) %Sys,ksoftirqd/5 (49) %Wait,ksoftirqd/5 (49) Size,ksoftirqd/5 (49) ResSet,ksoftirqd/5 (49) ResText,ksoftirqd/5 (49) ResData,ksoftirqd/5 (49) ShdLib,ksoftirqd/5 (49) MinorFault,ksoftirqd/5 (49) MajorFault,ksoftirqd/7 (59) %CPU,ksoftirqd/7 (59) %Usr,ksoftirqd/7 (59) %Sys,ksoftirqd/7 (59) %Wait,ksoftirqd/7 (59) Size,ksoftirqd/7 (59) ResSet,ksoftirqd/7 (59) ResText,ksoftirqd/7 (59) ResData,ksoftirqd/7 (59) ShdLib,ksoftirqd/7 (59) MinorFault,ksoftirqd/7 (59) MajorFault,dockerd (777) %CPU,dockerd (777) %Usr,dockerd (777) %Sys,dockerd (777) %Wait,dockerd (777) Size,dockerd (777) ResSet,dockerd (777) ResText,dockerd (777) ResData,dockerd (777) ShdLib,dockerd (777) MinorFault,dockerd (777) MajorFault,docker-containe (994) %CPU,docker-containe (994) %Usr,docker-containe (994) %Sys,docker-containe (994) %Wait,docker-containe (994) Size,docker-containe (994) ResSet,docker-containe (994) ResText,docker-containe (994) ResData,docker-containe (994) ShdLib,docker-containe (994) MinorFault,docker-containe (994) MajorFault,google_accounts (996) %CPU,google_accounts (996) %Usr,google_accounts (996) %Sys,google_accounts (996) %Wait,google_accounts (996) Size,google_accounts (996) ResSet,google_accounts (996) ResText,google_accounts (996) ResData,google_accounts (996) ShdLib,google_accounts (996) MinorFault,google_accounts (996) MajorFault,redis-server %CPU,redis-server %Usr,redis-server %Sys,redis-server %Wait,redis-server Size,redis-server ResSet,redis-server ResText,redis-server ResData,redis-server ShdLib,redis-server MinorFault,redis-server MajorFault,redis-server Count,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:05:51,3.600,1.800,0.000,5.400,0.900,2.800,0.000,3.700,0.900,1.800,0.000,2.700,0.900,2.800,0.000,3.700,0.900,1.800,0.000,2.700,1.800,2.800,0.000,4.600,0.900,2.700,0.000,3.600,0.900,1.900,0.000,2.800,1.300,2.200,0.000,3.500,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24692.000,-0.000,-0.000,0.000,-0.000,11517.800,24254.700,-1.000,0.900,0.000,1664.100,0.000,4207.800,4.200,1034.000,0.000,4146.400,1029.300,4.200,4212.500,0.000,1033.500,1034.000,4212.500,5246.500,7102.700,4804.100,11906.800,4744.000,56.600,7102.700,0.000,4800.600,7044.300,54.800,4804.100,0.000,7099.100,5179.900,11899.700,5246.500,11906.800,0.000,0.000,8.400,111.400,5237.100,11788.300,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,4014882795323003900.000,1975577248711307520.000,2039305546611696640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.000,0.000,0.000,8567.000,21787.000,-1.000,0.000,0.000,0.000,0.000,15526.000,8.000,0.000,32649.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16259.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:01,0.400,0.700,0.000,1.100,0.400,0.700,0.000,1.100,0.300,0.900,0.100,1.200,0.500,1.200,0.000,1.700,0.300,0.800,0.000,1.100,0.300,0.700,0.000,1.000,0.000,0.100,0.000,0.100,0.400,0.700,0.000,1.100,0.300,0.700,0.000,1.000,0.000,8.000,4.800,4.800,0.000,4.800,0.400,0.400,0.000,0.000,0.000,0.000,0.000,32.300,32.300,0.000,32.300,6.700,6.700,0.000,6.700,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24690.100,-0.000,-0.000,0.000,-0.000,11517.900,24254.800,-1.000,0.900,0.000,1664.000,0.000,2934.100,6.700,735.400,1.300,2891.100,727.000,9.300,2941.100,1.300,736.400,735.400,2941.100,3676.500,5194.900,3632.200,8827.100,3553.500,84.400,5194.900,1.100,3637.900,5118.200,82.300,3632.200,1.100,5200.500,3627.500,8838.400,3676.500,8827.100,2.600,2.200,16.000,166.700,3661.100,8671.700,1.000,0.000,4511.400,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.013,0.025,0.000,854864.000,4708.000,204.000,738068.000,2816.000,32.000,0.000,,,,,,,,,,,,1.074,0.325,0.749,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.100,0.025,0.075,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,0.350,0.824,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,21.000,0.000,0.000,8567.000,21808.000,-1.000,0.000,324.000,0.000,0.000,36071.000,4.000,0.000,764.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32464.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:11,0.700,1.200,0.000,1.900,0.300,0.800,0.000,1.100,0.700,1.400,0.000,2.100,0.400,1.200,0.100,1.600,0.400,0.600,0.000,1.000,0.600,1.000,0.000,1.600,0.500,0.800,0.000,1.300,0.800,1.200,0.100,2.000,0.500,1.000,0.000,1.500,0.000,8.000,4.800,4.800,0.000,4.800,0.700,0.700,0.000,0.000,0.000,0.000,0.000,40.700,40.700,0.000,40.700,8.500,8.500,0.000,8.500,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24690.900,-0.000,-0.000,0.000,-0.000,11517.900,24254.900,-1.000,0.900,0.000,1664.100,0.000,2750.300,6.600,676.300,0.000,2713.800,665.300,9.200,2756.500,0.000,674.600,676.300,2756.500,3432.800,4639.400,3143.900,7783.300,3066.300,83.200,4639.400,0.000,3149.500,4562.900,81.900,3143.900,0.000,4644.800,3388.400,7794.300,3432.800,7783.300,0.000,0.000,15.800,165.100,3415.600,7629.200,1.000,0.000,4854.800,-1.000,-1.000,-1.000,11.100,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,0.038,0.013,0.025,0.000,102460.000,38396.000,252.000,760.000,37964.000,111.000,0.000,0.974,0.212,0.761,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.138,0.075,0.062,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,0.087,0.075,0.013,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,761120.000,14900.000,6696.000,748144.000,4392.000,75.000,0.000,0.113,0.037,0.075,0.000,217200.000,13436.000,4.000,8760.000,4096.000,1721.000,0.000,1.111,0.287,0.824,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,25.000,0.000,0.000,8567.000,21831.000,-1.000,0.000,408.000,0.000,0.000,110322.000,72.000,0.000,154174.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,103142.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:21,0.400,0.900,0.100,1.300,0.300,0.500,0.100,0.800,0.300,0.800,0.000,1.100,0.200,0.700,0.000,0.900,0.200,0.600,0.000,0.800,0.300,0.600,0.000,0.900,0.000,0.000,0.000,0.000,0.400,0.900,0.000,1.300,0.300,0.600,0.000,0.900,0.000,8.000,4.800,4.800,0.000,4.800,0.300,0.300,0.000,0.000,0.000,0.000,0.000,24.400,24.400,0.000,24.400,5.100,5.100,0.000,5.100,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24695.100,-0.000,-0.000,0.000,-0.000,11517.900,24254.900,-1.000,0.900,0.000,1664.100,0.000,2715.300,6.400,672.800,0.900,2678.400,664.900,8.900,2721.000,0.900,673.900,672.800,2721.000,3393.800,4632.700,3153.500,7786.200,3079.700,80.300,4632.700,0.800,3160.100,4559.500,79.100,3153.500,0.800,4639.000,3352.300,7799.100,3393.800,7786.200,1.800,1.600,15.300,159.400,3380.200,7639.200,3.000,0.000,4216.900,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.950,0.200,0.750,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.087,0.025,0.062,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.013,0.025,0.000,874332.000,41124.000,30612.000,791596.000,15836.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.037,0.225,0.812,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,18.000,0.000,0.000,8567.000,21831.000,-1.000,0.000,244.000,0.000,0.000,34459.000,4.000,0.000,682.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33154.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:31,0.400,0.800,0.000,1.200,0.300,0.800,0.000,1.100,0.200,0.700,0.100,0.900,0.300,0.800,0.000,1.100,0.300,0.800,0.100,1.100,0.800,1.100,0.000,1.900,0.000,0.000,0.000,0.000,0.500,1.100,0.000,1.600,0.400,0.800,0.000,1.200,0.000,8.000,6.400,6.400,0.000,6.400,0.600,0.600,0.000,0.000,0.000,0.000,0.000,84.000,84.000,0.000,84.000,13.100,13.100,0.000,13.100,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24692.900,-0.000,-0.000,0.000,-0.000,11517.900,24254.900,-1.000,0.900,0.000,1664.100,0.000,3211.300,6.500,792.600,0.000,3167.000,784.500,9.000,3217.400,0.000,793.400,792.600,3217.400,4010.000,5460.400,3709.000,9169.400,3631.100,82.400,5460.400,0.000,3713.400,5384.600,80.600,3709.000,0.000,5464.800,3960.400,9178.200,4010.000,9169.400,0.000,0.000,15.500,163.000,3995.800,9015.700,1.000,0.000,5594.100,-1.000,-1.000,-1.000,2.100,-1.000,-1.000,-1.000,,,,,,,,,,,,0.037,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.200,0.350,0.850,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.087,0.000,0.087,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,0.025,0.013,0.013,0.000,761120.000,14900.000,6696.000,748144.000,4392.000,80.000,0.000,,,,,,,,,,,,1.287,0.350,0.938,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,10.000,0.000,0.000,8567.000,21831.000,-1.000,0.000,840.000,0.000,0.000,40616.000,3.000,0.000,6918.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37385.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:41,0.300,0.800,0.000,1.100,0.300,0.700,0.000,1.000,0.200,0.500,0.000,0.700,0.400,0.700,0.100,1.100,0.500,0.900,0.000,1.400,0.500,0.800,0.100,1.300,0.100,0.000,0.000,0.100,0.300,0.900,0.100,1.200,0.300,0.700,0.000,1.000,0.000,8.000,4.500,4.500,0.000,4.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000,22.800,22.800,0.000,22.800,5.100,5.100,0.000,5.100,24.400,0.000,9.900,24.400,0.000,0.000,24.400,0.100,0.000,52335.600,-0.000,-0.000,0.000,24698.000,-0.000,-0.000,0.000,-0.000,11517.900,24254.900,-1.000,0.900,0.000,1664.100,0.000,2881.200,6.900,714.600,1.300,2842.100,706.100,9.600,2888.300,1.300,715.700,714.600,2888.300,3602.900,4921.400,3357.900,8279.300,3276.200,87.600,4921.400,1.100,3363.700,4841.100,86.200,3357.900,1.100,4927.200,3557.800,8290.900,3602.900,8279.300,2.600,2.200,16.500,173.800,3587.300,8117.300,1.000,0.000,4882.800,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.050,0.275,0.775,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.113,0.050,0.062,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,761120.000,14900.000,6696.000,748144.000,4392.000,7.000,0.000,,,,,,,,,,,,1.163,0.325,0.838,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,8.000,0.000,0.000,8567.000,21831.000,-1.000,0.000,228.000,0.000,0.000,35200.000,2.000,0.000,697.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33798.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
