Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /var/lib/docker/overlay,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET veth116834d-read-KB/s,NET eth0-read-KB/s,NET lo-read-KB/s,NET docker0-read-KB/s,NET veth116834d-write-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NET docker0-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET veth116834d-reads/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET docker0-reads/s,NETPACKET veth116834d-writes/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETPACKET docker0-writes/s,NETTOTAL docker0-KB/s,NETTOTAL docker0-packets/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,NETTOTAL veth116834d-KB/s,NETTOTAL veth116834d-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,rcuos/0 (12) %CPU,rcuos/0 (12) %Usr,rcuos/0 (12) %Sys,rcuos/0 (12) %Wait,rcuos/0 (12) Size,rcuos/0 (12) ResSet,rcuos/0 (12) ResText,rcuos/0 (12) ResData,rcuos/0 (12) ShdLib,rcuos/0 (12) MinorFault,rcuos/0 (12) MajorFault,collectd (2255) %CPU,collectd (2255) %Usr,collectd (2255) %Sys,collectd (2255) %Wait,collectd (2255) Size,collectd (2255) ResSet,collectd (2255) ResText,collectd (2255) ResData,collectd (2255) ShdLib,collectd (2255) MinorFault,collectd (2255) MajorFault,dockerd (701) %CPU,dockerd (701) %Usr,dockerd (701) %Sys,dockerd (701) %Wait,dockerd (701) Size,dockerd (701) ResSet,dockerd (701) ResText,dockerd (701) ResData,dockerd (701) ShdLib,dockerd (701) MinorFault,dockerd (701) MajorFault,nginx (7906) %CPU,nginx (7906) %Usr,nginx (7906) %Sys,nginx (7906) %Wait,nginx (7906) Size,nginx (7906) ResSet,nginx (7906) ResText,nginx (7906) ResData,nginx (7906) ShdLib,nginx (7906) MinorFault,nginx (7906) MajorFault,nginx (7907) %CPU,nginx (7907) %Usr,nginx (7907) %Sys,nginx (7907) %Wait,nginx (7907) Size,nginx (7907) ResSet,nginx (7907) ResText,nginx (7907) ResData,nginx (7907) ShdLib,nginx (7907) MinorFault,nginx (7907) MajorFault,docker-containe (926) %CPU,docker-containe (926) %Usr,docker-containe (926) %Sys,docker-containe (926) %Wait,docker-containe (926) Size,docker-containe (926) ResSet,docker-containe (926) ResText,docker-containe (926) ResData,docker-containe (926) ShdLib,docker-containe (926) MinorFault,docker-containe (926) MajorFault,nginx %CPU,nginx %Usr,nginx %Sys,nginx %Wait,nginx Size,nginx ResSet,nginx ResText,nginx ResData,nginx ShdLib,nginx MinorFault,nginx MajorFault,nginx Count,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:05:53,2.700,2.700,0.000,5.400,2.800,3.700,0.000,6.500,3.200,3.200,0.000,6.400,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.800,-0.000,-0.000,0.000,-0.000,1555.200,1172.800,-1.000,0.800,0.000,524.400,0.000,49.500,49.900,0.000,49.200,49.500,40.000,0.000,49.500,49.900,40.000,89.900,21.900,21.900,43.800,17.500,21.900,0.000,17.500,17.500,21.900,0.000,17.500,98.700,35.000,89.900,43.800,0.000,0.000,99.000,35.000,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,15912136316059664000.000,7829781362738722800.000,8082354953320942600.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.000,0.000,0.000,1449.000,21117.000,-1.000,0.000,0.000,0.000,0.000,9508.000,5.000,0.000,31271.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8923.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:03,0.100,0.300,0.000,0.400,0.200,0.400,0.000,0.600,0.100,0.400,0.000,0.500,0.000,2.000,10.700,10.700,10.700,0.100,0.100,0.000,0.000,0.000,3.200,3.200,3.200,0.300,0.300,0.300,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.700,-0.000,-0.000,0.000,-0.000,1555.200,1172.900,-1.000,0.800,0.000,524.400,0.000,179.100,179.900,0.000,173.600,179.900,180.300,0.000,179.900,179.900,180.300,360.200,412.500,402.500,815.000,401.500,412.500,0.000,401.500,411.400,402.500,0.000,411.400,353.500,812.900,360.200,815.000,0.000,0.000,359.000,812.900,1.000,0.000,712.500,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.250,0.050,0.200,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.200,0.050,0.150,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,0.100,0.050,0.050,0.000,316136.000,10836.000,6696.000,303160.000,4276.000,2.000,0.000,0.450,0.100,0.350,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,6.000,0.000,0.000,1449.000,21138.000,-1.000,0.000,32.000,0.000,0.000,1545.000,1.000,0.000,195.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1643.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:13,0.200,0.300,0.000,0.500,0.200,0.300,0.000,0.500,0.200,0.400,0.000,0.600,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.700,-0.000,-0.000,0.000,-0.000,1555.200,1172.900,-1.000,0.800,0.000,524.400,0.000,101.600,101.800,0.400,99.500,101.600,102.400,0.400,101.600,101.800,102.400,204.200,154.400,154.100,308.500,151.900,154.400,0.400,151.900,152.100,154.100,0.400,152.100,201.100,304.000,204.200,308.500,0.800,0.800,203.200,304.000,1.000,0.000,488.700,-1.000,-1.000,-1.000,0.900,-1.000,-1.000,-1.000,,,,,,,,,,,,0.100,0.000,0.100,0.000,854864.000,4548.000,204.000,738068.000,2864.000,20.000,0.000,0.200,0.150,0.050,0.000,480060.000,34952.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.050,0.050,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.050,0.050,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,0.100,0.000,0.100,0.000,316136.000,10836.000,6696.000,303160.000,4276.000,38.000,0.000,0.200,0.100,0.100,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,6.000,0.000,0.000,1449.000,21138.000,-1.000,0.000,0.000,0.000,0.000,2199.000,0.000,0.000,4049.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2335.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:23,0.000,0.200,0.000,0.200,0.000,0.400,0.000,0.400,0.000,0.300,0.000,0.300,0.000,2.000,7.600,7.600,7.600,0.100,0.100,0.000,0.000,0.000,49.200,49.200,49.200,6.500,6.500,6.500,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.800,-0.000,-0.000,0.000,-0.000,1555.200,1172.900,-1.000,0.800,0.000,524.400,0.000,95.900,96.100,0.000,93.300,96.000,95.300,0.000,96.000,96.100,95.300,191.400,192.000,191.700,383.700,189.700,192.000,0.000,189.700,190.100,191.700,0.000,190.100,189.300,379.800,191.400,383.700,0.000,0.000,191.900,379.800,1.000,0.000,460.100,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.200,0.000,0.200,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,7.000,0.000,0.000,1449.000,21138.000,-1.000,0.000,492.000,0.000,0.000,797.000,0.000,0.000,152.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,633.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:33,0.100,0.200,0.000,0.300,0.100,0.100,0.000,0.200,0.100,0.200,0.000,0.300,0.000,2.000,28.000,28.000,28.000,0.000,0.100,0.000,0.000,0.000,2.800,2.800,2.800,0.100,0.100,0.100,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.600,-0.000,-0.000,0.000,-0.000,1555.200,1172.900,-1.000,0.800,0.000,524.400,0.000,111.500,111.600,0.400,109.500,111.500,112.000,0.400,111.500,111.600,112.000,223.600,147.800,147.900,295.700,146.400,147.800,0.400,146.400,146.300,147.900,0.400,146.300,221.000,292.700,223.600,295.700,0.800,0.800,223.000,292.700,1.000,0.000,482.500,-1.000,-1.000,-1.000,0.800,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.100,0.000,0.000,480060.000,34952.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,1.000,0.000,0.000,0.000,1449.000,21138.000,-1.000,0.000,28.000,0.000,0.000,2460.000,1.000,0.000,3083.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1497.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:43,0.000,0.100,0.000,0.100,0.100,0.300,0.000,0.400,0.100,0.200,0.000,0.300,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.800,-0.000,-0.000,0.000,-0.000,1555.200,1172.900,-1.000,0.800,0.000,524.400,0.000,108.100,108.300,0.000,105.000,108.300,108.700,0.000,108.300,108.300,108.700,217.000,232.100,230.700,462.800,229.600,232.100,0.000,229.600,231.000,230.700,0.000,231.000,213.300,460.600,217.000,462.800,0.000,0.000,216.400,460.600,1.000,0.000,525.300,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.050,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.150,0.050,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,1.000,1.000,0.000,0.000,1449.000,21138.000,-1.000,0.000,0.000,0.000,0.000,944.000,0.000,0.000,148.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
