Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET eth0-read-KB/s,NET lo-read-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,kworker/u4:0 (6) %CPU,kworker/u4:0 (6) %Usr,kworker/u4:0 (6) %Sys,kworker/u4:0 (6) %Wait,kworker/u4:0 (6) Size,kworker/u4:0 (6) ResSet,kworker/u4:0 (6) ResText,kworker/u4:0 (6) ResData,kworker/u4:0 (6) ShdLib,kworker/u4:0 (6) MinorFault,kworker/u4:0 (6) MajorFault,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:05:49,1.800,4.500,0.000,6.300,3.600,1.800,0.000,5.400,3.200,3.600,0.000,6.800,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6549.700,-0.000,-0.000,0.000,-0.000,573.800,482.300,-1.000,0.800,0.000,255.400,0.000,0.400,0.000,0.500,0.000,0.400,0.500,0.900,3.500,3.500,7.000,3.500,0.000,3.500,0.000,0.900,7.000,0.000,0.000,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,16279475683311780000.000,8139737840767524900.000,8139737842544256000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,1283.000,18735.000,-1.000,0.000,0.000,0.000,0.000,9507.000,43.000,0.000,31630.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5560.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:05:59,0.100,0.100,0.000,0.200,0.100,0.000,0.000,0.100,0.100,0.100,0.000,0.200,0.000,2.000,5.800,5.800,5.800,0.000,0.000,0.000,0.000,0.000,5.200,5.200,5.200,0.900,0.900,0.900,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6550.600,-0.000,-0.000,0.000,-0.000,573.800,481.700,-1.000,0.800,0.000,255.400,0.000,3.000,0.000,0.200,0.000,3.000,0.200,3.200,2.000,2.000,4.000,2.000,0.000,2.000,0.000,3.200,4.000,0.000,0.000,1.000,0.000,86.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,9.000,0.000,0.000,1283.000,18756.000,-1.000,0.000,52.000,0.000,0.000,430.000,1.000,0.000,244.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:09,0.000,0.200,0.000,0.200,0.000,0.100,0.000,0.100,0.100,0.100,0.000,0.200,0.000,2.000,6.000,6.000,6.000,0.000,0.000,0.000,0.000,0.000,1.200,1.200,1.200,0.200,0.200,0.200,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6550.700,-0.000,-0.000,0.000,-0.000,573.800,482.100,-1.000,0.800,0.000,255.400,0.000,2.000,0.400,1.300,0.400,2.000,1.300,3.300,9.700,9.800,19.500,9.700,0.400,9.800,0.400,3.300,19.500,0.800,0.800,1.000,0.000,107.800,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,6.000,0.000,0.000,1283.000,18756.000,-1.000,0.000,12.000,0.000,0.000,494.000,0.000,0.000,421.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,534.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:19,0.100,0.000,0.000,0.100,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,2.000,4.000,4.000,4.000,0.200,0.200,0.000,0.000,0.000,0.400,0.400,0.400,0.100,0.100,0.100,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6550.700,-0.000,-0.000,0.000,-0.000,573.800,482.300,-1.000,0.800,0.000,255.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.300,0.600,0.300,0.000,0.300,0.000,0.000,0.600,0.000,0.000,1.000,0.000,74.200,-1.000,-1.000,-1.000,0.300,-1.000,-1.000,-1.000,,,,,,,,,,,,6.000,0.000,0.000,1283.000,18756.000,-1.000,0.000,4.000,0.000,0.000,156.000,0.000,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,185.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:29,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.100,0.100,0.000,0.200,0.000,2.000,8.800,8.800,8.800,0.200,0.200,0.000,0.000,0.000,8.800,8.800,8.800,1.000,1.000,1.000,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6550.500,-0.000,-0.000,0.000,-0.000,573.800,482.600,-1.000,0.800,0.000,255.400,0.000,0.100,0.400,0.700,0.400,0.100,0.700,0.800,1.000,1.000,2.000,1.000,0.400,1.000,0.400,0.800,2.000,0.800,0.800,1.000,0.000,101.300,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,0.000,0.000,0.000,1283.000,18756.000,-1.000,0.000,88.000,0.000,0.000,409.000,1.000,0.000,371.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,334.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:39,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.100,0.000,0.100,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6550.500,-0.000,-0.000,0.000,-0.000,573.800,482.700,-1.000,0.800,0.000,255.400,0.000,0.200,0.000,0.100,0.000,0.200,0.100,0.300,0.800,0.800,1.600,0.800,0.000,0.800,0.000,0.300,1.600,0.000,0.000,1.000,0.000,73.600,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,1.000,0.000,0.000,1283.000,18756.000,-1.000,0.000,0.000,0.000,0.000,158.000,0.000,0.000,137.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
