Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU003 User%,CPU003 Sys%,CPU003 Wait%,CPU003 CPU%,CPU004 User%,CPU004 Sys%,CPU004 Wait%,CPU004 CPU%,CPU005 User%,CPU005 Sys%,CPU005 Wait%,CPU005 CPU%,CPU006 User%,CPU006 Sys%,CPU006 Wait%,CPU006 CPU%,CPU007 User%,CPU007 Sys%,CPU007 Wait%,CPU007 CPU%,CPU008 User%,CPU008 Sys%,CPU008 Wait%,CPU008 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/hugepages,JFSFILE /dev/mqueue,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET eth0-read-KB/s,NET lo-read-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,nginx (1106) %CPU,nginx (1106) %Usr,nginx (1106) %Sys,nginx (1106) %Wait,nginx (1106) Size,nginx (1106) ResSet,nginx (1106) ResText,nginx (1106) ResData,nginx (1106) ShdLib,nginx (1106) MinorFault,nginx (1106) MajorFault,rcuob/3 (12) %CPU,rcuob/3 (12) %Usr,rcuob/3 (12) %Sys,rcuob/3 (12) %Wait,rcuob/3 (12) Size,rcuob/3 (12) ResSet,rcuob/3 (12) ResText,rcuob/3 (12) ResData,rcuob/3 (12) ShdLib,rcuob/3 (12) MinorFault,rcuob/3 (12) MajorFault,rngd (378) %CPU,rngd (378) %Usr,rngd (378) %Sys,rngd (378) %Wait,rngd (378) Size,rngd (378) ResSet,rngd (378) ResText,rngd (378) ResData,rngd (378) ShdLib,rngd (378) MinorFault,rngd (378) MajorFault,ksoftirqd/5 (49) %CPU,ksoftirqd/5 (49) %Usr,ksoftirqd/5 (49) %Sys,ksoftirqd/5 (49) %Wait,ksoftirqd/5 (49) Size,ksoftirqd/5 (49) ResSet,ksoftirqd/5 (49) ResText,ksoftirqd/5 (49) ResData,ksoftirqd/5 (49) ShdLib,ksoftirqd/5 (49) MinorFault,ksoftirqd/5 (49) MajorFault,java (7664) %CPU,java (7664) %Usr,java (7664) %Sys,java (7664) %Wait,java (7664) Size,java (7664) ResSet,java (7664) ResText,java (7664) ResData,java (7664) ShdLib,java (7664) MinorFault,java (7664) MajorFault,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:05:50,39.500,3.500,0.000,43.000,49.100,4.500,0.000,53.600,54.500,5.500,0.000,60.000,41.200,4.400,0.000,45.600,38.400,4.500,0.000,42.900,58.500,5.700,0.000,64.200,27.000,4.300,0.000,31.300,37.800,3.600,0.000,41.400,43.200,4.300,0.000,47.500,0.000,8.000,8.000,8.000,8.000,1.700,1.700,6.800,6.800,6.800,0.000,0.000,0.000,0.900,0.900,0.900,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14279.400,-0.000,-0.000,0.000,-0.000,1086.200,1902.000,-1.000,0.800,0.000,399.500,0.000,1718.600,7.600,2199.700,7.600,1718.600,2199.700,3918.300,13509.800,13511.500,27021.300,13509.800,6.800,13511.500,6.800,3918.300,27021.300,15.200,13.600,6.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,3864253109130834900.000,1901457879306942980.000,1962795229823891970.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.000,0.000,0.000,2404.000,23071.000,-1.000,8.000,0.000,0.000,0.000,15375.000,49.000,0.000,31791.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11931.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:00,52.700,4.200,0.000,56.900,55.900,4.000,0.000,59.900,54.200,4.200,0.000,58.400,49.400,3.100,0.000,52.500,44.300,4.000,0.000,48.300,62.800,4.400,0.000,67.200,30.400,2.100,0.000,32.500,39.500,3.500,0.000,43.000,48.500,3.700,0.000,52.200,0.000,8.000,8.700,8.700,8.700,0.300,0.200,0.000,0.000,0.000,10.400,10.400,10.400,1.200,1.200,1.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14278.700,-0.000,-0.000,0.000,-0.000,1086.300,1900.600,-1.000,0.800,0.000,399.500,0.000,1832.800,0.000,2333.900,0.000,1832.800,2333.900,4166.700,14377.200,14379.700,28756.900,14377.200,0.000,14379.700,0.000,4166.700,28756.900,0.000,0.000,4.000,0.000,31265.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.038,0.013,0.025,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.478,48.873,4.605,0.000,47153142328.000,1175500.000,4.000,4335993064.000,26496.000,1.000,0.000,53.000,0.000,0.000,2404.000,23085.000,-1.000,0.000,104.000,0.000,0.000,51240.000,1.000,0.000,235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49644.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:10,51.500,3.700,0.000,55.200,52.800,4.500,0.000,57.300,56.300,4.900,0.000,61.200,51.100,3.100,0.000,54.200,46.500,3.400,0.000,49.900,59.800,4.700,0.000,64.500,39.500,2.400,0.000,41.900,43.500,3.600,0.000,47.100,50.100,3.700,0.000,53.800,0.000,8.000,80.000,80.000,80.000,0.000,0.100,0.000,0.000,0.000,16.000,16.000,16.000,0.200,0.200,0.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14277.900,-0.000,-0.000,0.000,-0.000,1086.400,1903.000,-1.000,0.800,0.000,399.500,0.000,1897.200,446.400,2750.100,446.400,1897.200,2750.100,4647.300,14191.700,14241.200,28432.900,14191.700,97.700,14241.200,97.700,4647.300,28432.900,892.800,195.400,5.000,0.000,30547.700,-1.000,-1.000,-1.000,1.000,-1.000,-1.000,-1.000,0.025,0.000,0.025,0.000,186956.000,6716.000,3636.000,34648.000,1548.000,0.000,0.000,,,,,,,,,,,,0.050,0.000,0.050,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,55.081,50.471,4.610,0.000,47153142328.000,1175628.000,4.000,4335993064.000,26328.000,584.000,0.000,32.000,0.000,0.000,2408.000,23194.000,-1.000,0.000,160.000,0.000,0.000,51721.000,82.000,0.000,6327.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50184.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:20,57.000,4.100,0.000,61.100,56.900,4.200,0.000,61.100,66.600,3.700,0.000,70.300,47.300,3.800,0.000,51.100,47.800,3.200,0.000,51.000,64.900,4.800,0.000,69.700,40.500,2.100,0.000,42.600,50.300,3.000,0.000,53.300,53.800,3.600,0.000,57.400,0.000,8.000,6.700,6.700,6.700,0.400,0.400,0.000,0.000,0.000,2.000,2.000,2.000,0.300,0.300,0.300,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14279.200,-0.000,-0.000,0.000,-0.000,1086.400,1903.000,-1.000,0.800,0.000,399.500,0.000,1780.400,0.000,2270.800,0.000,1780.400,2270.800,4051.200,13984.000,13984.800,27968.800,13984.000,0.000,13984.800,0.000,4051.200,27968.800,0.000,0.000,8.000,0.000,29547.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.038,0.013,0.025,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,58.862,54.190,4.673,0.000,47153142328.000,1175628.000,4.000,4335993064.000,26328.000,0.000,0.000,45.000,0.000,0.000,2405.000,23085.000,-1.000,0.000,20.000,0.000,0.000,49389.000,0.000,0.000,167.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45339.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:30,51.200,4.600,0.000,55.800,53.700,4.400,0.000,58.100,68.600,3.200,0.000,71.800,45.700,4.300,0.000,50.000,30.700,2.700,0.000,33.400,62.700,4.800,0.000,67.500,38.000,2.100,0.000,40.100,41.900,3.600,0.000,45.500,48.800,3.700,0.000,52.500,0.000,8.000,8.900,8.900,8.900,0.100,0.100,0.000,0.000,0.000,15.200,15.200,15.200,1.700,1.700,1.700,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14280.000,-0.000,-0.000,0.000,-0.000,1086.500,1903.100,-1.000,0.800,0.000,399.600,0.000,1878.800,0.900,2396.900,0.900,1878.800,2396.900,4275.700,14767.200,14768.500,29535.700,14767.200,0.800,14768.500,0.800,4275.700,29535.700,1.800,1.600,7.000,0.000,32140.600,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.038,0.013,0.025,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.006,49.259,4.747,0.000,47153142328.000,1175628.000,4.000,4335993064.000,26328.000,1.000,0.000,51.000,0.000,0.000,2405.000,23085.000,-1.000,0.000,152.000,0.000,0.000,52739.000,0.000,0.000,466.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48420.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:06:40,57.000,4.000,0.000,61.000,62.500,3.200,0.000,65.700,61.800,4.500,0.000,66.300,56.300,2.800,0.000,59.100,43.600,3.600,0.000,47.200,61.100,4.600,0.000,65.700,31.200,2.400,0.000,33.600,41.800,3.700,0.000,45.500,51.900,3.600,0.000,55.500,0.000,8.000,98.000,98.000,98.000,0.300,0.200,0.000,0.000,0.000,19.600,19.600,19.600,0.200,0.200,0.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14277.600,-0.000,-0.000,0.000,-0.000,1086.500,1903.100,-1.000,0.800,0.000,399.600,0.000,1823.200,0.000,2325.500,0.000,1823.200,2325.500,4148.700,14330.500,14330.400,28660.900,14330.500,0.000,14330.400,0.000,4148.700,28660.900,0.000,0.000,7.000,0.000,30571.400,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.050,0.025,0.025,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,56.733,52.261,4.471,0.000,47153142328.000,1175628.000,4.000,4335993064.000,26328.000,0.000,0.000,17.000,0.000,0.000,2405.000,23085.000,-1.000,0.000,196.000,0.000,0.000,50386.000,1.000,0.000,167.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47879.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
