Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU003 User%,CPU003 Sys%,CPU003 Wait%,CPU003 CPU%,CPU004 User%,CPU004 Sys%,CPU004 Wait%,CPU004 CPU%,CPU005 User%,CPU005 Sys%,CPU005 Wait%,CPU005 CPU%,CPU006 User%,CPU006 Sys%,CPU006 Wait%,CPU006 CPU%,CPU007 User%,CPU007 Sys%,CPU007 Wait%,CPU007 CPU%,CPU008 User%,CPU008 Sys%,CPU008 Wait%,CPU008 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE sdb,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKBUSY sdb,DISKREAD sda,DISKREAD sda1,DISKREAD sdb,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE sdb,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER sdb,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /var/lib/docker/overlay,JFSFILE /data,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET vethbf055be-read-KB/s,NET veth9b349d6-read-KB/s,NET eth0-read-KB/s,NET lo-read-KB/s,NET docker0-read-KB/s,NET vethbf055be-write-KB/s,NET veth9b349d6-write-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NET docker0-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET vethbf055be-reads/s,NETPACKET veth9b349d6-reads/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET docker0-reads/s,NETPACKET vethbf055be-writes/s,NETPACKET veth9b349d6-writes/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETPACKET docker0-writes/s,NETTOTAL docker0-KB/s,NETTOTAL docker0-packets/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,NETTOTAL veth9b349d6-KB/s,NETTOTAL veth9b349d6-packets/s,NETTOTAL vethbf055be-KB/s,NETTOTAL vethbf055be-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,rcuob/3 (12) %CPU,rcuob/3 (12) %Usr,rcuob/3 (12) %Sys,rcuob/3 (12) %Wait,rcuob/3 (12) Size,rcuob/3 (12) ResSet,rcuob/3 (12) ResText,rcuob/3 (12) ResData,rcuob/3 (12) ShdLib,rcuob/3 (12) MinorFault,rcuob/3 (12) MajorFault,rcu_sched (17) %CPU,rcu_sched (17) %Usr,rcu_sched (17) %Sys,rcu_sched (17) %Wait,rcu_sched (17) Size,rcu_sched (17) ResSet,rcu_sched (17) ResText,rcu_sched (17) ResData,rcu_sched (17) ShdLib,rcu_sched (17) MinorFault,rcu_sched (17) MajorFault,rcuos/1 (19) %CPU,rcuos/1 (19) %Usr,rcuos/1 (19) %Sys,rcuos/1 (19) %Wait,rcuos/1 (19) Size,rcuos/1 (19) ResSet,rcuos/1 (19) ResText,rcuos/1 (19) ResData,rcuos/1 (19) ShdLib,rcuos/1 (19) MinorFault,rcuos/1 (19) MajorFault,systemd (1) %CPU,systemd (1) %Usr,systemd (1) %Sys,systemd (1) %Wait,systemd (1) Size,systemd (1) ResSet,systemd (1) ResText,systemd (1) ResData,systemd (1) ShdLib,systemd (1) MinorFault,systemd (1) MajorFault,nmon (20078) %CPU,nmon (20078) %Usr,nmon (20078) %Sys,nmon (20078) %Wait,nmon (20078) Size,nmon (20078) ResSet,nmon (20078) ResText,nmon (20078) ResData,nmon (20078) ShdLib,nmon (20078) MinorFault,nmon (20078) MajorFault,collectd (2630) %CPU,collectd (2630) %Usr,collectd (2630) %Sys,collectd (2630) %Wait,collectd (2630) Size,collectd (2630) ResSet,collectd (2630) ResText,collectd (2630) ResData,collectd (2630) ShdLib,collectd (2630) MinorFault,collectd (2630) MajorFault,systemd-journal (292) %CPU,systemd-journal (292) %Usr,systemd-journal (292) %Sys,systemd-journal (292) %Wait,systemd-journal (292) Size,systemd-journal (292) ResSet,systemd-journal (292) ResText,systemd-journal (292) ResData,systemd-journal (292) ShdLib,systemd-journal (292) MinorFault,systemd-journal (292) MajorFault,docker-proxy (3036) %CPU,docker-proxy (3036) %Usr,docker-proxy (3036) %Sys,docker-proxy (3036) %Wait,docker-proxy (3036) Size,docker-proxy (3036) ResSet,docker-proxy (3036) ResText,docker-proxy (3036) ResData,docker-proxy (3036) ShdLib,docker-proxy (3036) MinorFault,docker-proxy (3036) MajorFault,redis-server (3095) %CPU,redis-server (3095) %Usr,redis-server (3095) %Sys,redis-server (3095) %Wait,redis-server (3095) Size,redis-server (3095) ResSet,redis-server (3095) ResText,redis-server (3095) ResData,redis-server (3095) ShdLib,redis-server (3095) MinorFault,redis-server (3095) MajorFault,redis-server (3185) %CPU,redis-server (3185) %Usr,redis-server (3185) %Sys,redis-server (3185) %Wait,redis-server (3185) Size,redis-server (3185) ResSet,redis-server (3185) ResText,redis-server (3185) ResData,redis-server (3185) ShdLib,redis-server (3185) MinorFault,redis-server (3185) MajorFault,rngd (411) %CPU,rngd (411) %Usr,rngd (411) %Sys,rngd (411) %Wait,rngd (411) Size,rngd (411) ResSet,rngd (411) ResText,rngd (411) ResData,rngd (411) ShdLib,rngd (411) MinorFault,rngd (411) MajorFault,rsyslogd (418) %CPU,rsyslogd (418) %Usr,rsyslogd (418) %Sys,rsyslogd (418) %Wait,rsyslogd (418) Size,rsyslogd (418) ResSet,rsyslogd (418) ResText,rsyslogd (418) ResData,rsyslogd (418) ShdLib,rsyslogd (418) MinorFault,rsyslogd (418) MajorFault,ksoftirqd/7 (59) %CPU,ksoftirqd/7 (59) %Usr,ksoftirqd/7 (59) %Sys,ksoftirqd/7 (59) %Wait,ksoftirqd/7 (59) Size,ksoftirqd/7 (59) ResSet,ksoftirqd/7 (59) ResText,ksoftirqd/7 (59) ResData,ksoftirqd/7 (59) ShdLib,ksoftirqd/7 (59) MinorFault,ksoftirqd/7 (59) MajorFault,dockerd (777) %CPU,dockerd (777) %Usr,dockerd (777) %Sys,dockerd (777) %Wait,dockerd (777) Size,dockerd (777) ResSet,dockerd (777) ResText,dockerd (777) ResData,dockerd (777) ShdLib,dockerd (777) MinorFault,dockerd (777) MajorFault,docker-containe (994) %CPU,docker-containe (994) %Usr,docker-containe (994) %Sys,docker-containe (994) %Wait,docker-containe (994) Size,docker-containe (994) ResSet,docker-containe (994) ResText,docker-containe (994) ResData,docker-containe (994) ShdLib,docker-containe (994) MinorFault,docker-containe (994) MajorFault,google_accounts (996) %CPU,google_accounts (996) %Usr,google_accounts (996) %Sys,google_accounts (996) %Wait,google_accounts (996) Size,google_accounts (996) ResSet,google_accounts (996) ResText,google_accounts (996) ResData,google_accounts (996) ShdLib,google_accounts (996) MinorFault,google_accounts (996) MajorFault,redis-server %CPU,redis-server %Usr,redis-server %Sys,redis-server %Wait,redis-server Size,redis-server ResSet,redis-server ResText,redis-server ResData,redis-server ShdLib,redis-server MinorFault,redis-server MajorFault,redis-server Count,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:00:36,1.800,1.800,0.000,3.600,0.900,1.900,0.000,2.800,0.000,1.800,0.000,1.800,0.900,2.800,0.000,3.700,0.000,0.900,0.000,0.900,2.800,1.900,0.000,4.700,0.900,1.800,0.000,2.700,0.900,2.800,0.000,3.700,1.100,2.200,0.000,3.300,0.000,8.000,16.000,16.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70.600,70.600,0.000,70.600,4.400,4.400,0.000,4.400,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24697.500,-0.000,-0.000,0.000,-0.000,11517.300,24254.200,-1.000,0.900,0.000,1664.100,0.000,4467.600,3.900,1089.700,0.000,4402.200,1086.000,3.400,4472.500,0.000,1089.500,1089.700,4472.500,5562.200,7494.100,5065.200,12559.300,5009.600,53.800,7494.100,0.000,5062.500,7440.300,52.000,5065.200,0.000,7492.400,5491.700,12554.900,5562.200,12559.300,0.000,0.000,7.300,105.800,5553.600,12449.900,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,4003842574059750900.000,1970144758882755070.000,2033697815176995580.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.000,0.000,0.000,8568.000,21633.000,-1.000,0.000,80.000,0.000,0.000,15480.000,7.000,0.000,31248.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8123.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:46,0.400,1.200,0.000,1.600,0.200,0.500,0.000,0.700,0.500,1.200,0.000,1.700,0.200,0.600,0.000,0.800,0.300,0.700,0.000,1.000,0.300,1.100,0.000,1.400,0.000,0.000,0.000,0.000,0.300,0.500,0.100,0.800,0.300,0.700,0.000,1.000,0.000,8.000,4.000,4.000,0.000,4.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000,24.400,24.400,0.000,24.400,6.100,6.100,0.000,6.100,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24691.400,-0.000,-0.000,0.000,-0.000,11517.300,24254.300,-1.000,0.900,0.000,1664.000,0.000,2805.900,6.900,694.900,1.300,2768.000,686.200,9.700,2813.100,1.300,695.900,694.900,2813.100,3508.000,4788.000,3265.000,8053.000,3185.400,85.700,4788.000,1.100,3271.100,4712.100,81.800,3265.000,1.100,4793.900,3463.900,8065.000,3508.000,8053.000,2.600,2.200,16.600,167.500,3492.100,7897.500,1.000,0.000,4715.200,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.013,0.025,0.000,854864.000,4708.000,204.000,738068.000,2816.000,32.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.099,0.237,0.861,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.138,0.037,0.100,0.000,43668.000,7744.000,972.000,25100.000,1596.000,14.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,874332.000,41192.000,30612.000,791596.000,15836.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.236,0.275,0.961,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,14.000,0.000,2.000,16.000,0.000,0.000,8568.000,21654.000,-1.000,0.000,244.000,0.000,0.000,34239.000,4.000,0.000,764.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35783.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:56,0.400,0.900,0.000,1.300,0.400,0.700,0.000,1.100,0.200,0.800,0.100,1.000,0.300,0.700,0.000,1.000,0.400,0.500,0.100,0.900,0.500,0.800,0.000,1.300,0.100,0.100,0.000,0.200,0.600,1.500,0.000,2.100,0.400,0.700,0.000,1.100,0.000,8.000,4.100,4.100,0.000,4.100,0.400,0.400,0.000,0.000,0.000,0.000,0.000,22.400,22.400,0.000,22.400,5.500,5.500,0.000,5.500,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24697.100,-0.000,-0.000,0.000,-0.000,11517.300,24254.400,-1.000,0.900,0.000,1664.100,0.000,2988.700,6.600,739.700,0.000,2948.000,731.500,9.300,2994.400,0.000,740.800,739.700,2994.400,3734.100,5097.000,3459.900,8556.900,3383.200,82.800,5097.000,0.000,3466.000,5024.100,79.000,3459.900,0.000,5103.200,3688.800,8569.200,3734.100,8556.900,0.000,0.000,15.900,161.800,3720.200,8407.300,1.000,0.000,5049.500,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099,0.275,0.824,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.100,0.013,0.087,0.000,43668.000,7744.000,972.000,25100.000,1596.000,13.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.013,0.013,0.000,874332.000,41192.000,30612.000,791596.000,15836.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.199,0.288,0.911,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,13.000,0.000,2.000,19.000,0.000,0.000,8568.000,21654.000,-1.000,0.000,224.000,0.000,0.000,39623.000,3.000,0.000,6053.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34843.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:06,0.600,0.600,0.000,1.200,0.500,0.500,0.100,1.000,0.600,1.100,0.000,1.700,0.400,1.400,0.100,1.800,1.300,2.100,0.000,3.400,0.600,1.300,0.100,1.900,0.000,0.100,0.000,0.100,0.500,1.200,0.000,1.700,0.600,1.000,0.000,1.600,0.000,8.000,5.400,5.400,0.000,5.400,0.700,0.700,0.000,0.000,0.000,0.000,0.000,55.200,55.200,0.000,55.200,10.200,10.200,0.000,10.200,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24689.200,-0.000,-0.000,0.000,-0.000,11517.300,24254.400,-1.000,0.900,0.000,1664.100,0.000,2552.600,6.500,648.600,0.900,2514.400,637.900,9.000,2558.600,0.900,646.800,648.600,2558.600,3207.200,4625.700,3261.100,7886.800,3184.800,81.600,4625.700,0.800,3266.400,4553.200,77.600,3261.100,0.800,4630.900,3161.200,7897.300,3207.200,7886.800,1.800,1.600,15.500,159.200,3190.500,7738.000,1.000,0.000,4408.200,-1.000,-1.000,-1.000,11.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,0.025,0.013,0.013,0.000,193624.000,6736.000,1296.000,150164.000,3964.000,2.000,0.000,0.025,0.000,0.025,0.000,14508.000,1060.000,112.000,3944.000,620.000,16.000,0.000,,,,,,,,,,,,0.050,0.025,0.025,0.000,102460.000,37776.000,252.000,760.000,37344.000,113.000,0.000,,,,,,,,,,,,0.963,0.275,0.688,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.100,0.025,0.075,0.000,43668.000,7744.000,972.000,25100.000,1596.000,12.000,0.000,0.062,0.062,0.000,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,0.025,0.013,0.013,0.000,685444.000,29016.000,500.000,221704.000,26296.000,1.000,0.000,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,0.025,0.013,0.013,0.000,761120.000,14928.000,6696.000,748144.000,4392.000,3.000,0.000,0.125,0.037,0.087,0.000,217200.000,13436.000,4.000,8760.000,4096.000,1720.000,0.000,1.062,0.300,0.762,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,12.000,0.000,2.000,27.000,0.000,0.000,8568.000,21678.000,-1.000,0.000,552.000,0.000,0.000,108927.000,80.000,0.000,156374.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107116.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:16,0.500,0.900,0.000,1.400,0.300,1.000,0.000,1.300,0.300,0.900,0.100,1.200,0.400,1.000,0.000,1.400,0.200,0.700,0.000,0.900,0.300,0.700,0.000,1.000,0.000,0.000,0.000,0.000,0.500,1.000,0.100,1.500,0.300,0.800,0.000,1.100,0.000,8.000,4.800,4.800,0.000,4.800,0.400,0.400,0.000,0.000,0.000,0.000,0.000,25.200,25.200,0.000,25.200,5.300,5.300,0.000,5.300,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24696.700,-0.000,-0.000,0.000,-0.000,11517.300,24254.400,-1.000,0.900,0.000,1664.100,0.000,3095.200,6.600,765.200,0.000,3052.700,757.100,9.100,3101.000,0.000,766.200,765.200,3101.000,3866.200,5270.000,3583.300,8853.300,3507.400,82.300,5270.000,0.000,3589.700,5197.900,78.400,3583.300,0.000,5276.300,3818.900,8866.000,3866.200,8853.300,0.000,0.000,15.700,160.700,3852.300,8705.300,1.000,0.000,4933.500,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.037,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,526376.000,5864.000,1452.000,518732.000,1436.000,0.000,0.000,1.111,0.275,0.836,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.113,0.050,0.062,0.000,43668.000,7744.000,972.000,25100.000,1596.000,13.000,0.000,0.038,0.025,0.013,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.013,0.013,0.000,874332.000,41192.000,30612.000,791596.000,15836.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,1.224,0.325,0.899,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,13.000,0.000,2.000,12.000,0.000,0.000,8568.000,21678.000,-1.000,0.000,252.000,0.000,0.000,41850.000,3.000,0.000,5913.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35760.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:26,0.300,1.000,0.100,1.300,0.300,0.700,0.000,1.000,0.600,1.400,0.000,2.000,0.300,0.500,0.000,0.800,0.400,0.600,0.100,1.000,0.200,0.600,0.000,0.800,0.000,0.000,0.000,0.000,0.400,0.900,0.000,1.300,0.300,0.700,0.000,1.000,0.000,8.000,4.000,4.000,0.000,4.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000,17.600,17.600,0.000,17.600,4.400,4.400,0.000,4.400,24.500,0.000,9.900,24.500,0.000,0.000,24.500,0.100,0.000,52335.600,-0.000,-0.000,0.000,24700.500,-0.000,-0.000,0.000,-0.000,11517.400,24254.400,-1.000,0.900,0.000,1664.100,0.000,3022.800,6.400,747.000,1.300,2981.400,739.300,8.700,3029.000,1.300,748.000,747.000,3029.000,3776.000,5146.800,3497.100,8643.900,3422.600,80.600,5146.800,1.100,3503.200,5075.100,77.100,3497.100,1.100,5152.200,3729.400,8655.400,3776.000,8643.900,2.600,2.200,15.100,157.700,3762.100,8497.700,1.000,0.000,4839.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.137,0.287,0.850,0.000,14646820.000,14599088.000,972.000,14634568.000,1440.000,0.000,0.000,0.100,0.025,0.075,0.000,43668.000,7744.000,972.000,25100.000,1596.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,761120.000,14928.000,6696.000,748144.000,4392.000,4.000,0.000,,,,,,,,,,,,1.238,0.312,0.925,0.000,14690488.000,14606832.000,1944.000,14659668.000,3036.000,11.000,0.000,2.000,15.000,0.000,0.000,8568.000,21678.000,-1.000,0.000,176.000,0.000,0.000,37385.000,2.000,0.000,657.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33434.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
