Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU003 User%,CPU003 Sys%,CPU003 Wait%,CPU003 CPU%,CPU004 User%,CPU004 Sys%,CPU004 Wait%,CPU004 CPU%,CPU005 User%,CPU005 Sys%,CPU005 Wait%,CPU005 CPU%,CPU006 User%,CPU006 Sys%,CPU006 Wait%,CPU006 CPU%,CPU007 User%,CPU007 Sys%,CPU007 Wait%,CPU007 CPU%,CPU008 User%,CPU008 Sys%,CPU008 Wait%,CPU008 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/hugepages,JFSFILE /dev/mqueue,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET eth0-read-KB/s,NET lo-read-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,zing-licensed (1191) %CPU,zing-licensed (1191) %Usr,zing-licensed (1191) %Sys,zing-licensed (1191) %Wait,zing-licensed (1191) Size,zing-licensed (1191) ResSet,zing-licensed (1191) ResText,zing-licensed (1191) ResData,zing-licensed (1191) ShdLib,zing-licensed (1191) MinorFault,zing-licensed (1191) MajorFault,rcuob/3 (12) %CPU,rcuob/3 (12) %Usr,rcuob/3 (12) %Sys,rcuob/3 (12) %Wait,rcuob/3 (12) Size,rcuob/3 (12) ResSet,rcuob/3 (12) ResText,rcuob/3 (12) ResData,rcuob/3 (12) ShdLib,rcuob/3 (12) MinorFault,rcuob/3 (12) MajorFault,rcu_sched (17) %CPU,rcu_sched (17) %Usr,rcu_sched (17) %Sys,rcu_sched (17) %Wait,rcu_sched (17) Size,rcu_sched (17) ResSet,rcu_sched (17) ResText,rcu_sched (17) ResData,rcu_sched (17) ShdLib,rcu_sched (17) MinorFault,rcu_sched (17) MajorFault,collectd (1941) %CPU,collectd (1941) %Usr,collectd (1941) %Sys,collectd (1941) %Wait,collectd (1941) Size,collectd (1941) ResSet,collectd (1941) ResText,collectd (1941) ResData,collectd (1941) ShdLib,collectd (1941) MinorFault,collectd (1941) MajorFault,rngd (378) %CPU,rngd (378) %Usr,rngd (378) %Sys,rngd (378) %Wait,rngd (378) Size,rngd (378) ResSet,rngd (378) ResText,rngd (378) ResData,rngd (378) ShdLib,rngd (378) MinorFault,rngd (378) MajorFault,java (7664) %CPU,java (7664) %Usr,java (7664) %Sys,java (7664) %Wait,java (7664) Size,java (7664) ResSet,java (7664) ResText,java (7664) ResData,java (7664) ShdLib,java (7664) MinorFault,java (7664) MajorFault,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:00:36,62.000,4.900,0.700,66.900,81.600,2.100,0.000,83.700,55.500,5.100,0.000,60.600,76.900,3.500,2.800,80.400,97.200,0.700,0.000,97.900,81.800,4.400,1.500,86.200,72.500,2.800,0.000,75.300,67.400,3.600,0.000,71.000,74.700,3.200,0.400,77.900,0.000,8.000,29.000,29.000,29.000,12.200,12.200,206.600,206.600,206.600,29.900,29.900,29.900,8.200,8.200,8.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14289.000,-0.000,-0.000,0.000,-0.000,1081.600,1891.400,-1.000,0.800,0.000,401.000,0.000,762.900,0.000,976.700,0.000,762.900,976.700,1739.600,5998.200,6000.300,11998.500,5998.200,0.000,6000.300,0.000,1739.600,11998.500,0.000,0.000,9.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,3085514705629068800.000,1518269141033430530.000,1567245564595638270.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.000,0.000,0.000,2404.000,22936.000,-1.000,304.000,44.000,0.000,0.000,12726.000,62.000,0.000,31512.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12744.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:46,84.100,3.300,0.000,87.400,93.100,1.600,0.000,94.700,86.600,3.700,0.000,90.300,85.800,3.500,0.000,89.300,95.600,1.200,0.000,96.800,92.600,1.900,0.000,94.500,95.000,1.700,0.000,96.700,92.200,1.400,0.000,93.600,90.600,2.300,0.000,92.900,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14292.200,-0.000,-0.000,0.000,-0.000,1082.100,1891.700,-1.000,0.800,0.000,401.000,0.000,192.100,0.000,271.800,0.000,192.100,271.800,463.900,1512.900,1514.600,3027.500,1512.900,0.000,1514.600,0.000,463.900,3027.500,0.000,0.000,12.000,0.000,4746.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.938,90.594,2.344,0.000,47153130016.000,1170812.000,4.000,4335980752.000,26848.000,0.000,0.000,189.000,0.000,0.000,2404.000,22950.000,-1.000,0.000,0.000,0.000,0.000,5514.000,1.000,0.000,228.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:56,96.000,1.400,0.000,97.400,95.200,2.300,0.000,97.500,95.900,1.500,0.000,97.400,96.700,1.200,0.000,97.900,95.500,2.000,0.000,97.500,96.000,1.800,0.000,97.800,96.300,1.200,0.000,97.500,96.500,0.900,0.000,97.400,96.000,1.500,0.000,97.500,0.000,8.000,64.700,64.700,64.700,0.600,0.600,0.000,0.000,0.000,109.800,109.800,109.800,1.700,1.700,1.700,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14288.300,-0.000,-0.000,0.000,-0.000,1082.400,1892.100,-1.000,0.800,0.000,401.100,0.000,26.200,1.200,43.000,1.200,26.200,43.000,69.200,177.300,179.900,357.200,177.300,1.300,179.900,1.300,69.200,357.200,2.400,2.600,16.000,0.000,1811.100,-1.000,-1.000,-1.000,0.500,-1.000,-1.000,-1.000,0.037,0.000,0.037,0.000,52724.000,3104.000,80.000,596.000,2376.000,0.000,0.000,,,,,,,,,,,,0.025,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.025,0.000,854828.000,4684.000,204.000,738064.000,2836.000,28.000,0.000,,,,,,,,,,,,97.451,96.153,1.299,0.000,47153137288.000,1178080.000,4.000,4335980752.000,34072.000,184.000,0.000,124.000,0.000,0.000,2406.000,24767.000,-1.000,0.000,1100.000,0.000,0.000,1187.000,4.000,0.000,2322.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,118.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:06,96.500,0.900,0.000,97.400,96.000,1.600,0.000,97.600,96.100,1.400,0.000,97.500,95.500,1.800,0.000,97.300,95.900,1.300,0.000,97.200,95.600,1.600,0.000,97.200,95.700,1.400,0.000,97.100,96.400,1.000,0.000,97.400,96.000,1.400,0.000,97.400,0.000,8.000,11.000,11.000,11.000,0.100,0.000,0.000,0.000,0.000,4.400,4.400,4.400,0.400,0.400,0.400,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14288.400,-0.000,-0.000,0.000,-0.000,1082.600,1893.700,-1.000,0.800,0.000,401.100,0.000,4.900,0.000,10.300,0.000,4.900,10.300,15.200,29.600,37.300,66.900,29.600,0.000,37.300,0.000,15.200,66.900,0.000,0.000,14.000,0.000,1556.400,-1.000,-1.000,-1.000,2.700,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.025,0.000,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,97.157,96.059,1.099,0.000,47153153152.000,1195144.000,4.000,4335980752.000,49808.000,1006.000,0.000,73.000,0.000,0.000,2408.000,28729.000,-1.000,0.000,44.000,0.000,0.000,2464.000,22.000,0.000,17589.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2870.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:16,97.100,1.000,0.000,98.100,95.900,1.900,0.000,97.800,96.800,1.000,0.000,97.800,96.100,1.800,0.000,97.900,96.200,1.200,0.000,97.400,96.400,1.100,0.000,97.500,96.500,1.000,0.000,97.500,96.500,1.000,0.000,97.500,96.400,1.200,0.000,97.600,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14287.800,-0.000,-0.000,0.000,-0.000,1082.900,1894.800,-1.000,0.800,0.000,401.200,0.000,49.000,0.900,14.800,0.900,49.000,14.800,63.800,24.200,30.800,55.000,24.200,0.800,30.800,0.800,63.800,55.000,1.800,1.600,15.000,0.000,1494.900,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,854828.000,4684.000,204.000,738064.000,2836.000,28.000,0.000,,,,,,,,,,,,97.603,96.579,1.024,0.000,47153141232.000,1184180.000,4.000,4335980752.000,37932.000,306.000,0.000,128.000,0.000,0.000,2405.000,25681.000,-1.000,0.000,0.000,0.000,0.000,946.000,3.000,0.000,3516.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1025.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:26,96.600,1.200,0.000,97.800,96.400,1.700,0.000,98.100,95.600,2.300,0.000,97.900,96.800,1.000,0.000,97.800,96.400,1.100,0.000,97.500,96.700,1.400,0.000,98.100,97.000,0.900,0.000,97.900,96.900,1.000,0.000,97.900,96.600,1.300,0.000,97.900,0.000,8.000,32.600,32.600,32.600,0.400,0.500,0.000,0.000,0.000,91.100,91.100,91.100,2.800,2.800,2.800,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14287.500,-0.000,-0.000,0.000,-0.000,1083.100,1895.200,-1.000,0.800,0.000,401.200,0.000,1.700,0.000,6.900,0.000,1.700,6.900,8.600,13.900,17.800,31.700,13.900,0.000,17.800,0.000,8.600,31.700,0.000,0.000,14.000,0.000,1473.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.849,96.737,1.111,0.000,47153153152.000,1196304.000,4.000,4335980752.000,49948.000,877.000,0.000,71.000,0.000,0.000,2409.000,28729.000,-1.000,0.000,912.000,0.000,0.000,356.000,16.000,0.000,8945.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,457.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
