Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET eth0-read-KB/s,NET lo-read-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,dbus-daemon (314) %CPU,dbus-daemon (314) %Usr,dbus-daemon (314) %Sys,dbus-daemon (314) %Wait,dbus-daemon (314) Size,dbus-daemon (314) ResSet,dbus-daemon (314) ResText,dbus-daemon (314) ResData,dbus-daemon (314) ShdLib,dbus-daemon (314) MinorFault,dbus-daemon (314) MajorFault,kworker/u4:0 (6) %CPU,kworker/u4:0 (6) %Usr,kworker/u4:0 (6) %Sys,kworker/u4:0 (6) %Wait,kworker/u4:0 (6) Size,kworker/u4:0 (6) ResSet,kworker/u4:0 (6) ResText,kworker/u4:0 (6) ResData,kworker/u4:0 (6) ShdLib,kworker/u4:0 (6) MinorFault,kworker/u4:0 (6) MajorFault,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:00:34,2.600,2.600,3.400,5.200,2.500,3.400,2.500,5.900,2.900,3.400,2.900,6.300,0.000,2.000,41.700,41.700,41.700,6.600,6.600,229.400,229.400,229.400,9.800,9.800,9.800,5.700,5.700,5.700,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6552.900,-0.000,-0.000,0.000,-0.000,573.700,482.000,-1.000,0.800,0.000,255.700,0.000,0.300,0.000,0.300,0.000,0.300,0.300,0.600,3.300,3.300,6.600,3.300,0.000,3.300,0.000,0.600,6.600,0.000,0.000,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,15112948257964888000.000,7556474128157735900.000,7556474129807153200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,1280.000,18688.000,-1.000,280.000,12.000,0.000,0.000,9463.000,58.000,0.000,31644.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5626.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:44,0.100,0.000,0.000,0.100,0.000,0.200,0.000,0.200,0.100,0.100,0.000,0.200,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6552.900,-0.000,-0.000,0.000,-0.000,573.700,482.100,-1.000,0.800,0.000,255.700,0.000,0.100,0.400,0.600,0.400,0.100,0.600,0.700,1.000,1.000,2.000,1.000,0.400,1.000,0.400,0.700,2.000,0.800,0.800,1.000,0.000,90.800,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,9.000,0.000,0.000,1280.000,18709.000,-1.000,0.000,0.000,0.000,0.000,410.000,1.000,0.000,370.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,449.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:54,0.000,0.100,0.000,0.100,0.100,0.100,0.000,0.200,0.100,0.100,0.000,0.200,0.000,2.000,4.000,4.000,4.000,0.200,0.200,0.000,0.000,0.000,0.400,0.400,0.400,0.100,0.100,0.100,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6552.800,-0.000,-0.000,0.000,-0.000,573.700,482.200,-1.000,0.800,0.000,255.700,0.000,2.900,0.000,0.200,0.000,2.900,0.200,3.100,1.800,1.800,3.600,1.800,0.000,1.800,0.000,3.100,3.600,0.000,0.000,1.000,0.000,78.000,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,8.000,0.000,0.000,1280.000,18709.000,-1.000,0.000,4.000,0.000,0.000,171.000,0.000,0.000,152.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,189.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:04,0.300,0.200,0.000,0.500,0.300,0.500,0.000,0.800,0.300,0.400,0.000,0.700,0.000,2.000,7.100,7.100,7.100,0.100,0.100,0.000,0.000,0.000,10.000,10.000,10.000,1.400,1.400,1.400,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6554.000,-0.000,-0.000,0.000,-0.000,573.700,481.000,-1.000,0.800,0.000,255.700,0.000,2.300,0.400,1.400,0.400,2.300,1.400,3.700,11.500,11.600,23.100,11.500,0.400,11.600,0.400,3.700,23.100,0.800,0.800,1.000,0.000,165.700,-1.000,-1.000,-1.000,2.100,-1.000,-1.000,-1.000,0.100,0.050,0.050,0.000,100624.000,2100.000,408.000,74576.000,1452.000,0.000,0.000,,,,,,,,,,,,10.000,0.000,0.000,1280.000,18710.000,-1.000,0.000,100.000,0.000,0.000,3174.000,6.000,0.000,7908.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:14,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.100,0.100,0.000,0.200,0.000,2.000,12.000,12.000,12.000,0.200,0.200,0.000,0.000,0.000,3.600,3.600,3.600,0.300,0.300,0.300,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6554.000,-0.000,-0.000,0.000,-0.000,573.700,481.100,-1.000,0.800,0.000,255.700,0.000,0.100,0.000,0.000,0.000,0.100,0.000,0.100,0.600,0.600,1.200,0.600,0.000,0.600,0.000,0.100,1.200,0.000,0.000,1.000,0.000,75.300,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000,0.000,1280.000,18710.000,-1.000,0.000,36.000,0.000,0.000,154.000,1.000,0.000,138.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,183.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:24,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.100,0.100,0.000,0.200,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.700,0.000,0.200,6.700,0.000,0.000,0.000,7480.400,-0.000,-0.000,0.000,6553.800,-0.000,-0.000,0.000,-0.000,573.700,481.300,-1.000,0.800,0.000,255.700,0.000,0.100,0.400,0.500,0.400,0.100,0.500,0.600,0.900,0.900,1.800,0.900,0.400,0.900,0.400,0.600,1.800,0.800,0.800,1.000,0.000,87.300,-1.000,-1.000,-1.000,0.300,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,2.000,0.000,0.000,1280.000,18710.000,-1.000,0.000,0.000,0.000,0.000,413.000,0.000,0.000,322.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,442.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
