Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /var/lib/docker/overlay,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET veth116834d-read-KB/s,NET eth0-read-KB/s,NET lo-read-KB/s,NET docker0-read-KB/s,NET veth116834d-write-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NET docker0-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET veth116834d-reads/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET docker0-reads/s,NETPACKET veth116834d-writes/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETPACKET docker0-writes/s,NETTOTAL docker0-KB/s,NETTOTAL docker0-packets/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,NETTOTAL veth116834d-KB/s,NETTOTAL veth116834d-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,rcuos/0 (12) %CPU,rcuos/0 (12) %Usr,rcuos/0 (12) %Sys,rcuos/0 (12) %Wait,rcuos/0 (12) Size,rcuos/0 (12) ResSet,rcuos/0 (12) ResText,rcuos/0 (12) ResData,rcuos/0 (12) ShdLib,rcuos/0 (12) MinorFault,rcuos/0 (12) MajorFault,collectd (2255) %CPU,collectd (2255) %Usr,collectd (2255) %Sys,collectd (2255) %Wait,collectd (2255) Size,collectd (2255) ResSet,collectd (2255) ResText,collectd (2255) ResData,collectd (2255) ShdLib,collectd (2255) MinorFault,collectd (2255) MajorFault,systemd-journal (233) %CPU,systemd-journal (233) %Usr,systemd-journal (233) %Sys,systemd-journal (233) %Wait,systemd-journal (233) Size,systemd-journal (233) ResSet,systemd-journal (233) ResText,systemd-journal (233) ResData,systemd-journal (233) ShdLib,systemd-journal (233) MinorFault,systemd-journal (233) MajorFault,rngd (312) %CPU,rngd (312) %Usr,rngd (312) %Sys,rngd (312) %Wait,rngd (312) Size,rngd (312) ResSet,rngd (312) ResText,rngd (312) ResData,rngd (312) ShdLib,rngd (312) MinorFault,rngd (312) MajorFault,dockerd (701) %CPU,dockerd (701) %Usr,dockerd (701) %Sys,dockerd (701) %Wait,dockerd (701) Size,dockerd (701) ResSet,dockerd (701) ResText,dockerd (701) ResData,dockerd (701) ShdLib,dockerd (701) MinorFault,dockerd (701) MajorFault,nginx (7906) %CPU,nginx (7906) %Usr,nginx (7906) %Sys,nginx (7906) %Wait,nginx (7906) Size,nginx (7906) ResSet,nginx (7906) ResText,nginx (7906) ResData,nginx (7906) ShdLib,nginx (7906) MinorFault,nginx (7906) MajorFault,nginx (7907) %CPU,nginx (7907) %Usr,nginx (7907) %Sys,nginx (7907) %Wait,nginx (7907) Size,nginx (7907) ResSet,nginx (7907) ResText,nginx (7907) ResData,nginx (7907) ShdLib,nginx (7907) MinorFault,nginx (7907) MajorFault,google_accounts (860) %CPU,google_accounts (860) %Usr,google_accounts (860) %Sys,google_accounts (860) %Wait,google_accounts (860) Size,google_accounts (860) ResSet,google_accounts (860) ResText,google_accounts (860) ResData,google_accounts (860) ShdLib,google_accounts (860) MinorFault,google_accounts (860) MajorFault,nginx %CPU,nginx %Usr,nginx %Sys,nginx %Wait,nginx Size,nginx ResSet,nginx ResText,nginx ResData,nginx ShdLib,nginx MinorFault,nginx MajorFault,nginx Count,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,07:00:38,3.600,4.500,0.000,8.100,3.600,1.800,0.000,5.400,3.200,3.200,0.000,6.400,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.400,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,111.900,112.400,0.000,111.600,111.900,102.900,0.000,111.900,112.400,102.900,215.300,26.400,26.400,52.800,22.000,26.400,0.000,22.000,22.000,26.400,0.000,22.000,223.500,44.000,215.300,52.800,0.000,0.000,223.800,44.000,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,15961731289293236000.000,7854185238459535400.000,8107546050833701900.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.000,0.000,0.000,1446.000,21027.000,-1.000,0.000,0.000,0.000,0.000,9454.000,5.000,0.000,31282.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1124.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:48,0.200,0.400,0.000,0.600,0.000,0.400,0.000,0.400,0.100,0.400,0.000,0.500,0.000,2.000,12.800,12.800,12.800,0.000,0.000,0.000,0.000,0.000,6.400,6.400,6.400,0.500,0.500,0.500,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.400,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,113.800,114.000,0.900,110.900,113.900,115.900,0.900,113.900,114.000,115.900,229.900,213.800,212.900,426.700,211.100,213.800,0.800,211.100,211.800,212.900,0.800,211.800,224.800,422.900,229.900,426.700,1.800,1.600,227.700,422.900,1.000,0.000,621.800,-1.000,-1.000,-1.000,0.800,-1.000,-1.000,-1.000,,,,,,,,,,,,0.100,0.000,0.100,0.000,854864.000,4548.000,204.000,738068.000,2864.000,20.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.000,0.100,0.000,480060.000,34992.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.200,0.000,0.200,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1446.000,21048.000,-1.000,0.000,64.000,0.000,0.000,2026.000,1.000,0.000,3173.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:00:58,0.000,0.300,0.000,0.300,0.000,0.200,0.000,0.200,0.100,0.300,0.000,0.400,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.900,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,143.300,143.300,0.000,139.700,143.300,143.600,0.000,143.300,143.300,143.600,286.900,263.200,263.300,526.500,262.100,263.200,0.000,262.100,262.200,263.300,0.000,262.200,283.000,524.300,286.900,526.500,0.000,0.000,286.600,524.300,1.000,0.000,570.900,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.000,0.150,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.250,0.000,0.250,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,1.000,0.000,0.000,1446.000,21048.000,-1.000,0.000,0.000,0.000,0.000,1102.000,0.000,0.000,291.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,730.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:08,0.300,0.800,0.000,1.100,0.300,0.700,0.100,1.000,0.300,0.700,0.000,1.000,0.000,2.000,6.000,6.000,6.000,0.300,0.400,0.000,0.000,0.000,1.200,1.200,1.200,0.200,0.200,0.200,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.400,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,172.900,173.600,0.400,167.800,173.400,172.700,0.400,173.400,173.600,172.700,346.300,382.600,373.800,756.400,371.900,382.600,0.400,371.900,380.700,373.800,0.400,380.700,341.200,752.600,346.300,756.400,0.800,0.800,346.300,752.600,1.000,0.000,849.200,-1.000,-1.000,-1.000,2.700,-1.000,-1.000,-1.000,,,,,,,,,,,,0.100,0.050,0.050,0.000,854864.000,4548.000,204.000,738068.000,2864.000,20.000,0.000,,,,,,,,,,,,0.100,0.100,0.000,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,0.100,0.000,0.100,0.000,480060.000,34992.000,30612.000,397324.000,15856.000,0.000,0.000,0.250,0.050,0.200,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.250,0.050,0.200,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.500,0.100,0.400,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,5.000,0.000,0.000,1446.000,21049.000,-1.000,0.000,12.000,0.000,0.000,5223.000,5.000,0.000,10455.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5316.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:18,0.100,0.300,0.000,0.400,0.000,0.100,0.000,0.100,0.100,0.300,0.000,0.400,0.000,2.000,7.100,7.100,7.100,0.200,0.100,0.000,0.000,0.000,15.600,15.600,15.600,2.200,2.200,2.200,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.600,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,117.300,117.400,0.000,114.500,117.300,117.400,0.000,117.300,117.400,117.400,234.800,202.600,201.600,404.200,200.100,202.600,0.000,200.100,201.100,201.600,0.000,201.100,231.800,401.200,234.800,404.200,0.000,0.000,234.600,401.200,1.000,0.000,479.500,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.200,0.000,0.200,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,5.000,0.000,0.000,1446.000,21049.000,-1.000,0.000,156.000,0.000,0.000,925.000,1.000,0.000,145.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,912.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,07:01:28,1.300,1.500,0.000,2.800,1.400,1.600,0.000,3.000,1.400,1.600,0.000,3.000,0.000,2.000,5.000,5.000,5.000,0.300,0.300,0.000,0.000,0.000,16.000,16.000,16.000,3.200,3.200,3.200,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4920.100,-0.000,-0.000,0.000,-0.000,1555.000,1172.700,-1.000,0.800,0.000,524.400,0.000,102.100,105.100,0.400,100.000,102.200,103.800,0.400,102.200,105.100,103.800,208.900,153.400,152.500,305.900,150.200,153.400,0.400,150.200,151.000,152.500,0.400,151.000,202.200,301.200,208.900,305.900,0.800,0.800,204.300,301.200,1.000,0.000,644.700,-1.000,-1.000,-1.000,10.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.050,0.050,0.000,102592.000,35100.000,252.000,764.000,34680.000,55.000,0.000,0.250,0.250,0.000,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,0.450,0.150,0.300,0.000,217188.000,13552.000,4.000,8748.000,4100.000,1730.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,1.000,6.000,0.000,0.000,1448.000,21058.000,-1.000,0.000,160.000,0.000,0.000,75961.000,72.000,0.000,150786.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49749.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
